Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide;Year
"ITALIA ";31019233;28872052;870656;1402750;1963
"ITALIA ";41795730;35873375;1578604;2798826;1994
"ITALIA ";37603817;33402139;1049064;2313128;1983
"ITALIA ";29183501;27425843;779712;1275841;1958
"ITALIA ";42270824;31751350;369301;1133449;2013
"ESTERO ";3149501;1009921;15614;114762;2013
"ITALIA ";42889825;35260803;1280496;2636219;1996
"ITALIA ";34928214;32621581;715877;1172150;1976
"ITALIA ";32517638;30252921;1103276;1636900;1968
"ITALIA ";25874809;23842919;480104;1185629;1948
"ITALIA ";38951485;34421230;961797;2007369;1987
"ITALIA ";44499794;36189394;1282516;2318132;2001
"ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige) ";42358775;34058406;448507;1284067;2008
"ESTERO ";2627832;1059625;12464;106481;2008
"ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige) ";42232467;35262679;462355;1100064;2006
"ESTERO ";2432340;962107;10351;71046;2006
"ITALIA ";27172871;25483201;634558;1186924;1953
"ITALIA ";33739592;31486399;873527;1370342;1972
"ITALIA ";41053543;35633367;1133237;2304786;1992
"ITALIA ";42780033;31231814;376765;1021451;2018
"ESTERO ";3835780;1160985;17508;128922;2018
"VALLE D'AOSTA ";92087;66670;1631;4732;2018
"ITALIA ";36362037;32976304;896307;1645509;1979
