Party;Seats;Year;House
Forza Italia Berlusconi Presidente-UDC;54;2018
Fratelli d'Italia;19;2018
Italia Viva - P.S.I.;18;2018
Lega-Salvini Premier-Partito Sardo d'Azione;63;2018
MoVimento 5 Stelle;92;2018
Partito Democratico;35;2018
Per le Autonomie (SVP-PATT, UV);9;2018
Misto;29;2018

Senatori a vita non appartenenti a gruppi;2;2013
Il Popolo della Libertà;92;2013
Lega Nord e Autonomie;17;2013
Movimento 5 Stelle;53;2013
Partito Democratico;106;2013
Per le Autonomie (SVP, UV, PATT, UPT) - PSI;10;2013
Scelta Civica per l'Italia;21;2013
Misto;20;2013

Il Popolo della Libertà;146;2008
Italia dei Valori;14;2008
Lega Nord Padania;26;2008
Partito Democratico;119;2008
UDC, SVP e Autonomie;11;2008
Misto;6;2008

Alleanza Nazionale;41;2006
Forza Italia;77;2006
Insieme con l'Unione Verdi - Comunisti Italiani;11;2006
Lega Nord Padania;13;2006
L'Ulivo;108;2006
Rifondazione Comunista - Sinistra Europea;27;2006
Unione dei Democraticicristiani e di Centro (UDC);21;2006
Misto;24;2006

Alleanza Nazionale;45;2001
CCD-CDU: Biancofiore;29;2001
Democratici di Sinistra - l'Ulivo;65;2001
Forza Italia;82;2001
Lega Nord Padania;17;2001
Margherita;43;2001
Per le Autonomie;10;2001
Verdi - l'Ulivo;10;2001
Misto;23;2001

Alleanza Nazionale;43;1996
Federazione Cristiano Democratica - CCD;15;1996
Federazione Cristiano Democratica - CDU;10;1996
Forza Italia;48;1996
Lega;27;1996
Partito Popolare Italiano;31;1996
Rifondazione Comunista - Progressisti;11;1996
Rinnovamento Italiano;11;1996
Sinistra Democratica - l'Ulivo;100;1996
Verdi - l'Ulivo;14;1996
Misto;15;1996

Alleanza Nazionale - Movimento Sociale Italiano;48;1994
Centro Cristiano Democratico;12;1994
Forza Italia;36;1994
Lega Nord;60;1994
Partito Popolare Italiano;34;1994
Progressisti - Federativo;76;1994
Progressista - PSI;10;1994
Progressisti-Verdi-La Rete;13;1994
Rifondazione Comunista - Progressisti;18;1994
Misto;19;1994

Democratico Cristiano;112;1992
Lega Nord;25;1992
Movimento Sociale Italiano - Destra Nazionale;16;1992
Partito Democratico della Sinistra;66;1992
Partito Socialista Italiano;51;1992
Repubblicano;12;1992
Rifondazione Comunista;20;1992
Misto;23;1992

Comunista;85;1987
Democratico Cristiano;127;1987
Federalista Europeo Ecologista;6;1987
Movimento Sociale Italiano - Destra Nazionale;16;1987
Partito Socialista Italiano;45;1987
Repubblicano;9;1987
Sinistra Indipendente;17;1987
Partito Socialista Democratico Italiano;7;1987
Misto;12;1987

Comunista;90;1983
Democratico Cristiano;121;1983
Movimento Sociale Italiano - Destra Nazionale;18;1983
Partito Socialista Italiano;38;1983
Repubblicano;12;1983
Sinistra Indipendente;19;1983
Partito Socialista Democratico Italiano;9;1983
Misto;15;1983

Comunista;94;1979
Democratico Cristiano;138;1979
Movimento Sociale Italiano - Destra Nazionale;13;1979
Partito Socialista Italiano;33;1979
Repubblicano;8;1979
Sinistra Indipendente;16;1979
Partito Socialista Democratico Italiano;10;1979
Misto;10;1979

Socialdemocratico - Liberale;10;1976
Comunista;99;1976
Democratico Cristiano;136;1976
Movimento Sociale Italiano - Destra Nazionale;15;1976
Partito Socialista Italiano;31;1976
Sinistra Indipendente;18;1976
Misto;13;1976

Partito Socialista Italiano di Unita' Proletaria;11;1972
Comunista;74;1972
Democratico Cristiano;137;1972
Movimento Sociale Italiano - Destra Nazionale;26;1972
Partito Liberale Italiano;10;1972
Partito Socialista Italiano;34;1972
Sinistra Indipendente;10;1972
Partito Socialista Democratico Italiano;12;1972
Misto;8;1972

Partito Socialista Italiano di Unita' Proletaria;13;1968
Comunista;77;1968
Democratico Cristiano;137;1968
Movimento Sociale Italiano;13;1968
Partito Liberale Italiano;16;1968
Sinistra Indipendente;12;1968
PSI-PSDI unificati;46;1968
Misto;8;1968

Comunista;84;1963
Democratico Cristiano;132;1963
Movimento Sociale Italiano;17;1963
Partito Liberale Italiano;19;1963
Partito Socialista Italiano;44;1963
Partito Socialista Democratico Italiano;14;1963
Misto;10;1963

Comunista;56;1958
Democratico Cristiano;122;1958
Movimento Sociale Italiano e Part. Naz. Monarchico;10;1958
Partito Socialista Italiano;35;1958
Misto;28;1958

Democratico Indipendenti di Sinistra;10;1953
Libero - Social - Repubblicano;10;1953
Partito Nazionale Monarchico;15;1953
Comunista;49;1953
Democratico Cristiano;110;1953
Movimento Sociale Italiano;9;1953
Partito Socialista Italiano;27;1953
Misto;11;1953

Democratico di Sinistra;11;1948
Comunista;66;1948
Democratico Cristiano;148;1948
Liberale;10;1948
Partito Socialista Italiano;41;1948
Repubblicano;11;1948
Unita' Socialista;23;1948
Misto;33;1948
