Ente;Liste/Gruppi;Voti;Year;
ITALIA;DC;11773182;1963;
ITALIA;PCI;7767601;1963;
ITALIA;PSI;4255836;1963;
ITALIA;PLI;2144270;1963;
ITALIA;PSDI;1876271;1963;
ITALIA;MSI;1570282;1963;
ITALIA;PDIUM;536948;1963;
ITALIA;PRI;420213;1963;
ITALIA;PPST;135457;1963;
ITALIA;CONC.UNITA'RURALE;92209;1963;
ITALIA;PAPI;87655;1963;
ITALIA;UV;31844;1963;
ITALIA;M.COMB.IT-FR.RIN.NAZ;19902;1963;
ITALIA;MOV.POL.CATT.IT.;7220;1963;
ITALIA;PART.SOC.CRIST.;6873;1963;
ITALIA;PART.MON.NAZ.;6472;1963;
ITALIA;L.UNIT.SLOV.;5679;1963;
ITALIA;MOV.IND.TLT;4261;1963;
ITALIA;UN.NAZ.SAL.PUB.;2926;1963;
ITALIA;MOV.COLT.E SAL.;2685;1963;
ITALIA;RINN.SOC.;1750;1963;
ITALIA;MOV.POP.IT.;1621;1963;
ITALIA;AV.NAZ.;959;1963;
ITALIA;PART.LAB.IT.;755;1963;
ITALIA;FORZA ITALIA;8136135;1994;
ITALIA;PDS;7881646;1994;
ITALIA;ALLEANZA NAZIONALE;5214133;1994;
ITALIA;P.POPOLARE ITALIANO;4287172;1994;
ITALIA;LEGA NORD;3235248;1994;
ITALIA;RIFONDAZIONE COMUNISTA;2343946;1994;
ITALIA;PATTO SEGNI;1811814;1994;
ITALIA;LISTA PANNELLA;1359283;1994;
ITALIA;FEDERAZIONE DEI VERDI;1047268;1994;
ITALIA;PSI;849429;1994;
ITALIA;LA RETE-MOV.DEM.;719841;1994;
ITALIA;ALLEANZA DEMOCRATICA;456114;1994;
ITALIA;SVP;231842;1994;
ITALIA;SOCIALDEMOCRAZIA;179495;1994;
ITALIA;PROGRAMMA ITALIA;151328;1994;
ITALIA;LEGA ALPINA LUMBARDA;136782;1994;
ITALIA;LEGA AUT.VENETA;103764;1994;
ITALIA;LEGA D'AZIONE MERIDIONALE;59873;1994;
ITALIA;UN.POP.;36343;1994;
ITALIA;VERDI-VERDI;32832;1994;
ITALIA;SOLID.OCCUPAZ.SVILUP;32653;1994;
