"Ente";"Numero elettori";"Numero votanti";"Schede bianche";"Schede non valide";"Year"
"ITALIA ";"34199184";"31766009";"571961";"1013138";"1963"
"ITALIA ";"48135041";"41546290";"1421900";"2825397";"1994"
"ITALIA ";"44526357";"39188182";"942382";"2282177";"1983"
"ITALIA ";"32434852";"30434681";"473682";"874412";"1958"
"ITALIA ";"46905154";"35270926";"395279";"1265171";"2013"
"VALLE D'AOSTA ";"100277";"77169";"1685";"";"2013"
"ESTERO ";"3494687";"1103989";"16456";"121108";"2013"
"ITALIA ";"48744846";"40401774";"1241498";"2917376";"1996"
"ITALIA ";"40426658";"37755090";"596541";"1047512";"1976"
"ITALIA ";"35566493";"33001644";"640202";"1211216";"1968"
"ITALIA ";"29117554";"26855741";"164392";"591283";"1948"
"ITALIA ";"45692417";"40586573";"773475";"2015065";"1987"
"ITALIA ";"49256295";"40085397";"1688609";"2962621";"2001"
"ITALIA (escl. Valle d'Aosta) ";"47041814";"37874569";"485870";"1417315";"2008"
"VALLE D'AOSTA ";"100623";"79684";"1824";"4745";"2008"
"CIRCOSCRIZIONE ESTERO ";"2924178";"1155411";"12868";"111893";"2008"
"ITALIA (escl. Valle d'Aosta) ";"46997601";"39298497";"439286";"1145154";"2006"
"CIRCOSCRIZIONE ESTERO ";"2707382";"1053864";"11046";"82712";"2006"
"ITALIA ";"30272236";"28406479";"430888";"1318778";"1953"
"ITALIA ";"37049351";"34525687";"600153";"1122139";"1972"
"ITALIA ";"47486964";"41479764";"872025";"2232489";"1992"
"ITALIA ";"46505350";"33923321";"389441";"1082296";"2018"
"VALLE D'AOSTA ";"99547";"71947";"2057";"5577";"2018"
"ESTERO ";"4230854";"1262422";"17762";"138993";"2018"
"ITALIA ";"42203354";"38242918";"836669";"1571610";"1979"
