Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide;Year
"PIEMONTE";2504825;2343894;66409;124457;1979
"PIEMONTE";977115;921186;35077;56868;1979
"LIGURIA";1475778;1364625;32171;60828;1979
"LOMBARDIA";3387593;3217950;68241;116760;1979
"LOMBARDIA";1272704;1197784;34001;55119;1979
"LOMBARDIA";1372472;1301132;34933;51102;1979
"LOMBARDIA";548863;530380;14124;19852;1979
"TRENTINO ALTO ADIGE";635463;595050;14523;23247;1979
"VENETO";1882579;1787213;43248;68739;1979
"VENETO";1151439;1079487;22587;39803;1979
"FRIULI-VENEZIA GIULIA";945237;859215;19379;34452;1979
"EMILIA ROMAGNA";1775968;1718948;30294;47412;1979
"EMILIA ROMAGNA";1331945;1268431;29493;42839;1979
"TOSCANA";1133386;1084906;22223;38416;1979
"TOSCANA";1034450;977826;22901;41649;1979
"TOSCANA";626884;603633;12064;18400;1979
"MARCHE";1101597;1024659;27808;45137;1979
"UMBRIA";742626;698571;13397;25256;1979
"LAZIO";3587247;3308426;50752;114614;1979
"ABRUZZO";995738;827082;17725;35236;1979
"MOLISE";285313;214000;5404;11192;1979
"CAMPANIA";2434519;2124572;34379;69940;1979
"CAMPANIA";1288369;1068798;20920;43906;1979
"PUGLIA";1473581;1291364;23878;53353;1979
"PUGLIA";1200987;1071667;20979;44438;1979
"BASILICATA";447346;379262;7984;20550;1979
"CALABRIA";1508553;1175398;27947;60570;1979
"SICILIA";1869718;1552501;32639;84712;1979
"SICILIA";1785185;1388814;26420;74192;1979
"SARDEGNA";1098937;960704;16946;35243;1979
"VALLE D'AOSTA";87770;80686;4676;7184;1979
"FRIULI-VENEZIA GIULIA";239167;224754;3147;6144;1979
"PIEMONTE 1 ";1747210;1320192;10336;44745;2018
"PIEMONTE 2 ";1632591;1220735;14101;48294;2018
"LOMBARDIA 1 ";2963196;2248842;23502;57834;2018
"LOMBARDIA 2 ";1646708;1260063;17765;40871;2018
"LOMBARDIA 3 ";1637008;1305919;19385;40017;2018
"LOMBARDIA 4 ";1249579;945493;13078;29126;2018
"VENETO 1 ";1485726;1153170;11026;31517;2018
"VENETO 2 ";2241715;1781237;16933;46300;2018
"FRIULI-VENEZIA GIULIA ";950403;713973;7512;24925;2018
"LIGURIA ";1229500;885066;7862;24474;2018
"EMILIA-ROMAGNA ";3326885;2604664;24622;69480;2018
"TOSCANA ";2841131;2200959;21178;66373;2018
"UMBRIA ";672313;525978;5339;14699;2018
"MARCHE ";1184079;915119;10985;25182;2018
"LAZIO 1 ";2890202;2081805;20128;54973;2018
"LAZIO 2 ";1502774;1111267;21435;44406;2018
"ABRUZZO ";1045163;786533;9227;26345;2018
"MOLISE ";254108;182007;3249;7678;2018
"CAMPANIA 1 ";2401003;1568793;10832;38579;2018
"CAMPANIA 2 ";2158084;1539573;24269;59490;2018
"PUGLIA ";3268164;2257628;23930;73468;2018
"BASILICATA ";462768;329087;5669;15368;2018
"CALABRIA ";1541566;981045;15683;43335;2018
"SICILIA 1 ";1896537;1161710;11265;42626;2018
"SICILIA 2 ";2111649;1353635;13935;49457;2018
"SARDEGNA ";1368471;896495;8256;27495;2018
"TRENTINO-ALTO ADIGE/SUDTIROL ";796817;592333;17939;35239;2018
"VALLE D'AOSTA- 01 ";99547;71947;2057;5577;2018
"PIEMONTE";2301590;2202709;57903;97598;1972
"PIEMONTE";926478;889557;25399;29886;1972
"LIGURIA";1393655;1320012;24121;40557;1972
"LOMBARDIA";3050497;2952718;52771;86456;1972
"LOMBARDIA";1103922;1065727;26080;39904;1972
"LOMBARDIA";1181854;1139878;21333;34246;1972
