Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide;Year
"PIEMONTE ";3066832;2866334;103595;183500;1979
"VALLE D'AOSTA ";77011;70243;6082;8043;1979
"LOMBARDIA ";5723980;5442237;151054;232268;1979
"TRENTINO-ALTO ADIGE ";541714;503669;15519;23004;1979
"VENETO ";2769441;2592521;73132;114660;1979
"FRIULI-VENEZIA GIULIA ";889139;805314;17234;31275;1979
"LIGURIA ";1321970;1217928;34877;61422;1979
"EMILIA-ROMAGNA ";2750068;2640355;60677;88399;1979
"TOSCANA ";2480423;2360143;62563;97541;1979
"UMBRIA ";559255;524235;11752;20620;1979
"MARCHE ";964332;894129;28313;45939;1979
"LAZIO ";3177881;2919780;58254;123684;1979
"ABRUZZO ";864128;713836;19021;39305;1979
"MOLISE ";247580;185431;6601;13371;1979
"CAMPANIA ";3083677;2667361;70833;155190;1979
"PUGLIA ";2226907;1975617;52528;104768;1979
"BASILICATA ";374645;321919;8233;21969;1979
"CALABRIA ";1255904;981243;34098;67474;1979
"SICILIA ";3073581;2493680;63905;172925;1979
"SARDEGNA ";913569;800329;18036;40152;1979
"PIEMONTE ";3142084;2359541;23372;87527;2018
"LOMBARDIA ";6933297;5340489;64317;151969;2018
"TRENTINO-ALTO ADIGE ";724073;543481;17736;32210;2018
"VENETO ";3440131;2712737;24863;71274;2018
"FRIULI-VENEZIA GIULIA ";886339;665611;6372;21932;2018
"LIGURIA ";1149900;826799;7739;23598;2018
"EMILIA-ROMAGNA ";3098700;2426269;24723;65692;2018
"TOSCANA ";2647437;2047422;18937;59646;2018
"UMBRIA ";625191;487451;4974;13688;2018
"MARCHE ";1095884;844732;10052;23205;2018
"LAZIO ";4052534;2945293;39493;93539;2018
"ABRUZZO ";964353;723303;9442;25586;2018
"MOLISE ";233710;166650;3030;6931;2018
"CAMPANIA ";4088744;2774197;37218;93926;2018
"PUGLIA ";2971874;2054760;27661;75149;2018
"BASILICATA ";423233;300948;5222;14639;2018
"CALABRIA ";1402353;890590;16216;42806;2018
"SICILIA ";3630336;2286543;26943;92488;2018
"SARDEGNA ";1269860;834998;8455;25646;2018
"VALLE D'AOSTA - 01 ";92087;66670;1631;4732;2018
"PIEMONTE ";3215909;2877383;84862;178100;1992
"VALLE D'AOSTA ";86532;77444;3006;5390;1992
"LOMBARDIA ";6408179;5891290;148892;269541;1992
"TRENTINO-ALTO ADIGE ";628385;571692;26065;39288;1992
"VENETO ";3184112;2900223;72008;36442;1992
"FRIULI-VENEZIA GIULIA ";935175;814391;18905;38299;1992
"LIGURIA ";1328655;1147611;29872;63104;1992
"EMILIA-ROMAGNA ";2982506;2789646;69831;119979;1992
"TOSCANA ";2654910;2401960;75512;144143;1992
"UMBRIA ";612810;551609;17573;36314;1992
"MARCHE ";1069372;953984;36330;66877;1992
"LAZIO ";3721682;3264620;88416;210165;1992
"ABRUZZO ";984201;789697;32326;64471;1992
"MOLISE ";272082;198990;12534;23309;1992
"CAMPANIA ";3678383;3026909;111319;245965;1992
"PUGLIA ";2687159;2270409;83330;200521;1992
"BASILICATA ";430229;354833;13395;36548;1992
"CALABRIA ";1465205;1075812;60032;128993;1992
"SICILIA ";3593150;2744495;115401;315101;1992
"SARDEGNA ";1114907;930369;33628;82236;1992
"PIEMONTE ";2401002;2254826;74035;117700;1953
"VALLE D'AOSTA ";57387;49111;1261;2844;1953
"LOMBARDIA ";4055144;3877803;97603;153593;1953
"TRENTINO-ALTO ADIGE ";418286;395857;12805;18805;1953
"VENETO ";2196003;2064069;56917;97267;1953
"FRIULI-VENEZIA GIULIA ";560203;503735;12419;24384;1953
"LIGURIA ";1063823;995079;24292;44817;1953
"EMILIA-ROMAGNA ";2217036;2134116;56817;85223;1953
"TOSCANA ";2016087;1938335;55258;81805;1953
"UMBRIA ";474833;454040;13478;23441;1953
"MARCHE ";794696;760378;23701;39275;1953
"LAZIO ";1895063;1778246;37363;72913;1953
"ABRUZZI E MOLISE ";905268;825692;24817;54240;1953
"CAMPANIA ";2211104;2041375;45212;114454;1953
"PUGLIA ";1599512;1515898;25335;67173;1953
"BASILICATA ";309390;288486;7655;17484;1953
"CALABRIA ";977000;878285;23288;55982;1953
"SICILIA ";2372537;2140999;28911;98346;1953
"SARDEGNA ";646665;595840;13391;26147;1953
"PIEMONTE ";2972527;2844452;104410;150511;1972
