Ente;Liste/Gruppi;Voti;Year
PIEMONTE 1;FORZA ITALIA;458512;2001
PIEMONTE 1;DEMOCRATICI SINISTRA;264334;2001
PIEMONTE 1;LA MARGHERITA;252876;2001
PIEMONTE 1;ALLEANZA NAZIONALE;133987;2001
PIEMONTE 1;RIFONDAZIONE COMUNISTA;112348;2001
PIEMONTE 1;LEGA NORD;63434;2001
PIEMONTE 1;LISTA DI PIETRO;62164;2001
PIEMONTE 1;PANNELLA-BONINO;42655;2001
PIEMONTE 1;CCD-CDU;26481;2001
PIEMONTE 1;COMUNISTI ITALIANI;23204;2001
PIEMONTE 1;IL GIRASOLE;18557;2001
PIEMONTE 1;VERDI-VERDI;18262;2001
PIEMONTE 1;DEMOCRAZIA EUROPEA;13668;2001
PIEMONTE 1;NUOVO PSI;8251;2001
PIEMONTE 1;ABOLIZIONE SCORPORO;867;2001
PIEMONTE 2;FORZA ITALIA;459819;2001
PIEMONTE 2;DEMOCRATICI SINISTRA;191857;2001
PIEMONTE 2;LA MARGHERITA;182042;2001
PIEMONTE 2;ALLEANZA NAZIONALE;131058;2001
PIEMONTE 2;LEGA NORD;106679;2001
PIEMONTE 2;RIFONDAZIONE COMUNISTA;58131;2001
PIEMONTE 2;LISTA DI PIETRO;55136;2001
PIEMONTE 2;PANNELLA-BONINO;47659;2001
PIEMONTE 2;CCD-CDU;36403;2001
PIEMONTE 2;COMUNISTI ITALIANI;29713;2001
PIEMONTE 2;IL GIRASOLE;25645;2001
PIEMONTE 2;DEMOCRAZIA EUROPEA;23214;2001
PIEMONTE 2;NUOVO PSI;14081;2001
PIEMONTE 2;FIAMMA TRICOLORE;11379;2001
PIEMONTE 2;ABOLIZIONE SCORPORO;1326;2001
LOMBARDIA 1;FORZA ITALIA;870838;2001
LOMBARDIA 1;LA MARGHERITA;416488;2001
LOMBARDIA 1;DEMOCRATICI SINISTRA;342744;2001
LOMBARDIA 1;ALLEANZA NAZIONALE;253253;2001
LOMBARDIA 1;LEGA NORD;192652;2001
LOMBARDIA 1;RIFONDAZIONE COMUNISTA;142248;2001
LOMBARDIA 1;LISTA DI PIETRO;97451;2001
LOMBARDIA 1;PANNELLA-BONINO;81155;2001
LOMBARDIA 1;IL GIRASOLE;50668;2001
LOMBARDIA 1;CCD-CDU;47879;2001
LOMBARDIA 1;COMUNISTI ITALIANI;41619;2001
LOMBARDIA 1;PARTITO PENSIONATI;26239;2001
LOMBARDIA 1;DEMOCRAZIA EUROPEA;18506;2001
LOMBARDIA 1;ABOLIZIONE SCORPORO;1590;2001
LOMBARDIA 2;FORZA ITALIA;821070;2001
LOMBARDIA 2;LEGA NORD;478547;2001
LOMBARDIA 2;LA MARGHERITA;420967;2001
LOMBARDIA 2;DEMOCRATICI SINISTRA;204078;2001
LOMBARDIA 2;ALLEANZA NAZIONALE;202182;2001
LOMBARDIA 2;RIFONDAZIONE COMUNISTA;108859;2001
LOMBARDIA 2;LISTA DI PIETRO;106136;2001
LOMBARDIA 2;PANNELLA-BONINO;68060;2001
LOMBARDIA 2;CCD-CDU;61163;2001
LOMBARDIA 2;IL GIRASOLE;44146;2001
LOMBARDIA 2;DEMOCRAZIA EUROPEA;43739;2001
LOMBARDIA 2;PARTITO PENSIONATI;42110;2001
LOMBARDIA 2;COMUNISTI ITALIANI;36018;2001
LOMBARDIA 2;FIAMMA TRICOLORE;15327;2001
LOMBARDIA 2;NUOVO PSI;15175;2001
LOMBARDIA 2;LIBDEM.BASTA;6332;2001
LOMBARDIA 2;ABOLIZIONE SCORPORO;1159;2001
LOMBARDIA 3;FORZA ITALIA;319689;2001
LOMBARDIA 3;DEMOCRATICI SINISTRA;179706;2001
