Ente;Liste/Gruppi;Voti;Year
PIEMONTE;DC;939229;1979
PIEMONTE;PCI;854527;1979
PIEMONTE;PSI;282547;1979
PIEMONTE;PSDI;152946;1979
PIEMONTE;PLI;140307;1979
PIEMONTE;PRI;124819;1979
PIEMONTE;MSI-DN;94424;1979
PIEMONTE;P.RAD-N.SIN.UN.;79675;1979
PIEMONTE;DN-CD;14360;1979
VALLE D'AOSTA;UNIONE VALDOSTANA-DEMPROL-PLI;37082;1979
VALLE D'AOSTA;UNITA DELLA SINISTRA;19814;1979
VALLE D'AOSTA;MSI-DN;2003;1979
VALLE D'AOSTA;NUOVA SIN.UNITA;1965;1979
VALLE D'AOSTA;DN-CD;1336;1979
LOMBARDIA;DC;2117789;1979
LOMBARDIA;PCI;1530781;1979
LOMBARDIA;PSI;620900;1979
LOMBARDIA;PSDI;217704;1979
LOMBARDIA;MSI-DN;186412;1979
LOMBARDIA;PRI;162090;1979
LOMBARDIA;PLI;156745;1979
LOMBARDIA;P.RAD;154257;1979
LOMBARDIA;NUOVA SIN.UNITA;40217;1979
LOMBARDIA;DN-CD;23074;1979
TRENTINO-ALTO ADIGE;PPST;172582;1979
TRENTINO-ALTO ADIGE;DC;160634;1979
TRENTINO-ALTO ADIGE;PCI;55372;1979
TRENTINO-ALTO ADIGE;PSI;32960;1979
TRENTINO-ALTO ADIGE;P.RAD;15897;1979
TRENTINO-ALTO ADIGE;PSDI;14281;1979
TRENTINO-ALTO ADIGE;MSI-DN;11706;1979
TRENTINO-ALTO ADIGE;PRI-PST-PROGR.SOC.;9115;1979
TRENTINO-ALTO ADIGE;PLI;6581;1979
TRENTINO-ALTO ADIGE;DN-CD;1537;1979
VENETO;DC;1272142;1979
VENETO;PCI;559446;1979
VENETO;PSI;246369;1979
VENETO;PSDI;125213;1979
VENETO;PRI;77889;1979
VENETO;MSI-DN;75988;1979
VENETO;PLI;56517;1979
VENETO;P.RAD-N.SIN.UN.;53637;1979
VENETO;DN-CD;10660;1979
FRIULI-VENEZIA GIULIA;DC;297399;1979
FRIULI-VENEZIA GIULIA;PCI;184582;1979
FRIULI-VENEZIA GIULIA;PSI;64872;1979
FRIULI-VENEZIA GIULIA;ASSOCIAZIONE PER TRIESTE;61911;1979
FRIULI-VENEZIA GIULIA;PSDI;45219;1979
FRIULI-VENEZIA GIULIA;MSI-DN;32665;1979
FRIULI-VENEZIA GIULIA;MOV.FRIULI;31490;1979
FRIULI-VENEZIA GIULIA;P.RAD;23596;1979
FRIULI-VENEZIA GIULIA;PRI;17871;1979
FRIULI-VENEZIA GIULIA;PLI;11102;1979
FRIULI-VENEZIA GIULIA;DN-CD;3332;1979
LIGURIA;PCI;418257;1979
LIGURIA;DC;385723;1979
LIGURIA;PSI;136492;1979
LIGURIA;P.RAD;44624;1979
LIGURIA;MSI-DN;42987;1979
LIGURIA;PSDI;42528;1979
LIGURIA;PRI;42493;1979
